,year,ISO_code,countries,region,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,hf_score
0,2013,GRC,Greece,Eastern Europe,6.7,6.1,4.6,5.7936507939999995,9.459426038,10.0,10.0,5.0,9.878403313,9.872323478,8.950145358,10.0,10.0,5.0,5.0,5.0,8.333333332999999,8.914301576,10.0,10.0,10.0,10.0,7.5,10.0,8.75,8.777777777999999,9.122222222000001,8.883333333,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.333333333,5.0,10.0,10.0,10.0,8.619047619,,5.0,5.0,5.0,10.0,10.0,10.0,5.0,6.666666667,8.093892854,45.0,5.323529412,3.8743825089999997,6.0,5.0,2.0,3.5,4.67447798,4.431738351,2.846349088,4.844420832,8.333333332999999,7.5,4.125037966,8.011330187,5.62784679,6.51336868,1.0,5.803713913999999,9.061842816,9.289396266,9.815745618,10.0,9.541746175,9.64,8.9,6.216,8.252,6.64178541,8.03273859,7.337262,10.0,4.58390751,3.8461538460000004,7.743794892,5.3912854160000006,7.745136854,8.0,8.118609407000001,10.0,8.706203136000001,5.566666667000001,4.374462651,5.317055902,4.0,5.510352308,3.0,4.628089588,2.407044185,6.0,9.560675261,4.368422758,8.895987662000001,7.836599992000001,6.5114549760000004,6.615249232999999,6.88,82.0,7.486946427
1,2012,COG,"Congo, Rep. Of",Sub-Saharan Africa,,,,3.5548,6.053026962000001,10.0,10.0,5.0,10.0,10.0,9.0,9.0,10.0,0.0,5.0,2.5,7.166666667,7.406564542999999,10.0,10.0,5.0,8.333333332999999,10.0,7.5,8.75,8.288888888999999,7.172222222,8.07037037,7.5,5.0,10.0,7.5,8.75,10.0,5.0,7.5,7.5,5.0,6.25,7.0,10.0,10.0,4.666666667,4.25,7.5,7.5,5.0,6.988095238,,0.0,0.0,0.0,10.0,10.0,10.0,,5.0,6.27952103,112.0,3.235294118,9.898215245,0.0,4.0,2.0,3.0,4.0333773410000004,,3.58373836,,0.0,3.333333333,3.011738204,3.960541938,,,0.793103448,2.490504467,6.979129427999999,2.758911575,9.222000000000001,0.0,4.740010251,9.346666667000001,6.44,6.2264,7.337688889,,2.600473159,2.600473159,10.0,,1.5384615380000002,0.0,0.7692307690000001,5.176848204,0.0,9.31833787,9.0,6.106112623,2.233333333,,,6.0,7.680348692000001,10.0,6.478420506,,0.0,5.961685492999999,,6.703545636,3.2519854660000003,3.979304149,5.5212790929999995,4.39,152.0,5.334760515
2,2009,FJI,Fiji,Oceania,,,,4.343008,8.638444916000001,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,9.546148305,5.0,10.0,10.0,8.333333332999999,,,,7.693333332999999,7.036111111,7.364722222,,,,,,,,,,,,,10.0,10.0,4.666666667,3.25,,,,6.979166667,,,,10.0,10.0,10.0,10.0,,10.0,7.556941854,65.0,6.320588235,8.686648501,8.0,7.0,7.0,7.0,7.501809184,,4.2,,5.7,,5.10906166,8.057429376,,,0.9259259259999999,5.553044138,9.028649646,8.739109085,9.26283205,0.0,6.757647695,7.733333332999999,7.6,0.0,5.1111111110000005,,6.883841501,6.883841501,10.0,,0.0,8.960676947,4.480338473,6.6188227710000005,10.0,8.798098097999999,10.0,9.599366032999999,7.766666667000001,,,10.0,8.145875198999999,10.0,8.978135466,,,8.277233248,,8.631833754,8.172879786000001,8.360648929,8.979383476,7.08,59.0,7.318470927000001
3,2009,IRL,Ireland,Western Europe,,,,7.8937289999999996,9.509639094,10.0,10.0,7.5,10.0,10.0,9.5,10.0,10.0,,,10.0,10.0,9.669879697999999,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.1333333329999995,4.719444444,6.950925926,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.666666667000001,8.5,10.0,10.0,10.0,9.595238095,,,,10.0,10.0,10.0,10.0,,10.0,9.045518577000001,17.0,3.603649595,5.257247853,8.0,5.0,3.0,4.0,5.215224362,8.747654492,5.876261004,8.152852603,10.0,10.0,4.94889834,7.21094818,8.298028412999999,7.98446831,1.0,7.9132345939999995,8.548012201,8.835613098,9.104012466,10.0,9.121909441,9.44,8.94,6.29,8.223333333,7.669230214,8.828370673,8.248800444,10.0,7.812869286000001,8.461538462,8.739425664,8.33794447,8.702519562,8.0,8.38953097,10.0,8.796510323,8.9,4.552727611,4.064536976,10.0,9.087770597999999,10.0,7.767505863999999,3.436121167,3.952380952,9.579583299,8.260775927000001,7.683106082999999,9.148091187999999,7.010009769,7.8580086520000005,7.76,12.0,8.402759288
4,2011,ARE,United Arab Emirates,Middle East & North Africa,6.066666667000001,6.037091325,7.486490773,6.5,9.764773032,10.0,10.0,10.0,10.0,10.0,10.0,,5.0,0.0,0.0,0.0,2.5,7.421591011,0.0,5.0,0.0,1.6666666669999999,0.0,5.0,2.5,8.837777778,4.716666667,5.351481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,3.75,0.75,10.0,10.0,2.0,3.75,5.0,7.5,2.5,5.821428571,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.839355425,149.0,7.494117647,9.218256131,2.0,10.0,10.0,10.0,7.178093444,7.314131927999999,6.149885911,7.029510085,8.333333332999999,6.666666667,5.330703767,9.054971779,8.485037932000001,9.246894337999999,0.5862068970000001,5.9580694329999995,9.555654148,5.109924371,9.824,10.0,8.62239463,10.0,9.02,6.9424,8.654133332999999,7.486831065,9.140590684,8.313710874,10.0,7.256128553,5.833333333,3.4293948810000003,5.506285589,8.118532449,5.0,10.0,10.0,8.333333332999999,10.0,6.5901225729999995,8.484553982000001,6.0,10.0,10.0,8.512446093,6.368730423,8.787878787999999,9.68084095,8.618147869,9.983349887000001,9.865488082,8.884072667,8.576617364,7.69,17.0,6.264677712
5,2008,MLT,Malta,Western Europe,,,,7.512808000000001,9.41765665,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,9.80588555,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.831111111,3.888888889,7.573333333,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.666666667000001,7.75,10.0,10.0,10.0,9.488095238,,,,10.0,10.0,10.0,10.0,,10.0,9.035816245,20.0,4.461764706,4.997010757,6.0,7.0,7.0,7.0,5.6146938660000005,6.7751736870000006,5.16009,7.457272173,10.0,8.333333332999999,,,7.423984394,8.58848917,1.0,7.676906108,8.883814235,9.796495922,9.148652611000001,10.0,9.457240692000001,9.606666667,8.88,5.608,8.031555556,7.335059799,,7.335059799,10.0,7.0045173620000005,7.692307692000001,6.416287196,7.0377040829999995,8.10107986,10.0,8.781265252,10.0,9.593755084,,3.91107271,7.113251609,,,10.0,7.008108106,3.3063880510000003,4.140625,,6.479119342000001,,,4.6420441310000005,7.08130244,7.59,22.0,8.312908122
6,2013,NZL,New Zealand,Oceania,8.5,7.5,7.2,7.738095238,9.592697509,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.864232503,10.0,10.0,10.0,10.0,5.0,10.0,7.5,9.666666667000001,9.816666667,8.994444443999999,10.0,10.0,5.0,10.0,7.5,2.5,7.5,5.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,9.571428571,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.257169237000001,6.0,4.5882352939999995,6.16928681,8.0,7.0,7.0,7.0,6.439380526,9.582745302000001,7.828814505,8.26199763,10.0,9.166666667000001,7.18406154,9.948229639,9.143537455,7.785849889,1.0,8.76687807,9.095206156,9.139214565,9.739427595,10.0,9.493462079,8.913333332999999,9.6,8.968,9.160444444,7.425302933999999,8.76417365,8.094738292,10.0,6.886963454,6.923076922999999,7.743794892,7.184611756000001,8.609948623,10.0,9.674649533,10.0,9.891549844,8.9,5.085919016,7.9508925360000005,10.0,10.0,10.0,8.656135259,5.094032207,10.0,9.980840394,9.254005913,9.401544927,8.296182377000001,8.67110097,9.072928691,8.48,3.0,8.868584618
7,2011,BRD,Barbados,Latin America & the Caribbean,,,,6.914219999999999,6.151118492,10.0,10.0,,10.0,10.0,10.0,,10.0,,,,10.0,8.717039497,10.0,10.0,,10.0,,,,9.444444444,8.238888889,8.841666667,,,,,,,,,,,,,10.0,10.0,9.0,7.5,,,,9.125,,10.0,10.0,10.0,0.0,0.0,0.0,,5.0,8.028648208,48.0,5.617647058999999,6.779471581,7.0,7.0,3.0,5.0,6.09927966,7.888275072000001,5.9728124220000005,7.2987323470000005,9.2,,3.8030033289999996,4.708824631000001,8.114675822,6.305636698,0.871794872,6.234476127000001,9.51426321,7.994178803,8.113999999999999,0.0,6.405610502999999,8.353333333,7.86,5.3776,7.196977778,5.773929447,8.910460662,7.342195053999999,10.0,7.311521645,0.0,10.0,5.770507215,7.577420012,8.0,0.48400218899999997,10.0,6.161334062999999,8.9,5.39768012,6.149532165,10.0,5.683031065,10.0,7.688373892,5.643251532000001,6.0606060610000005,9.348070273,6.7623705979999995,4.984978702,7.3433896270000005,6.690444465,6.846717472999999,6.63,98.0,7.3293241039999995
8,2011,OMN,Oman,Middle East & North Africa,0.0,0.0,0.0,6.410861,9.579892675,5.0,10.0,7.5,10.0,10.0,8.5,9.0,7.5,0.0,0.0,0.0,5.5,7.859964225,10.0,10.0,0.0,6.666666667,2.5,5.0,3.75,9.466666667,7.822222222000001,7.012962963,2.5,2.5,2.5,2.5,2.5,2.5,5.0,3.75,5.0,5.0,5.0,3.25,10.0,10.0,1.6666666669999999,3.25,7.5,5.0,5.0,6.05952381,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.86662165,131.0,0.305882353,8.214168937,0.0,10.0,10.0,10.0,4.630012823,6.874144957,6.182484002000001,7.47986212,8.333333332999999,8.333333332999999,5.137575707,8.711478488,7.9085523570000005,8.516136807999999,0.5862068970000001,5.946240327000001,9.188245162000001,1.990090009,9.186,10.0,7.591083792999999,9.58,8.9,5.44,7.973333332999999,6.587127657999999,8.76417365,7.675650654,10.0,6.559924375,5.833333333,7.852783274,6.748680327000001,8.099416079,10.0,9.694382088,7.0,8.898127363,10.0,4.911981187,7.3855552620000005,6.0,10.0,10.0,8.049589408,5.80310794,7.727272727000001,8.985123151,7.729646047999999,8.013318405,9.305021759,7.927248337999999,8.291655036,6.91,78.0,6.388310825
9,2008,ARM,Armenia,Caucasus & Central Asia,,,,4.859971,8.665850589,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,9.55528353,5.0,5.0,10.0,6.666666667,,,,8.428888889,6.3,7.364444444,,,,,,,,,,,,,10.0,6.56147059,3.0,3.25,,,,5.702867648,,,,10.0,10.0,10.0,10.0,,10.0,7.320560977,71.0,8.214705882,7.836512262,10.0,10.0,8.0,9.0,8.762804536,2.095980544,3.133423333,5.371275205,5.833333333,5.0,7.162290369,9.825789679,3.976549126,8.035632303,1.0,5.60380821,8.139625574,9.180357447,8.210009329,10.0,8.882498088,8.746666667000001,9.44,8.107999999999999,8.764888889,5.3549837039999995,7.490388557,6.42268613,10.0,5.946918199,9.166666667000001,1.1062564129999999,5.40661376,7.648547195,10.0,8.850542317,9.0,9.283514106,6.7,6.025258655,7.1937224760000005,8.0,8.794818879,0.0,6.118966668,3.731631698,5.147679325,9.492440411,3.7432273119999997,8.495142272,3.487381322,5.682917057,7.028465944,7.59,22.0,7.455280489
