,x_coord,y_coord
#####,12.6852036083,6.67377649959
12 Stones,-17.262379064,-0.0561045360356
1200 Micrograms,7.68453423099,11.1544635483
12012,-14.7331637764,-15.6235348437
13th Floor Elevators,-1.98613145682,-20.2670142893
2Pac,-2.02769552468,6.45387402629
3 Doors Down,-21.6769712282,-13.2729990714
30 Seconds to Mars,9.14536661382,5.3941923604
3OH!3,3.23804022154,3.73300083068
3mmey,14.7214942864,-21.9810495129
4 Strings,9.76799866786,14.1008524539
5'nizza,14.4191911679,5.35065452085
50 Cent,-2.18287656378,6.56889008478
5ive,-2.48703438945,14.5053554325
A Flock of Seagulls,14.6163645606,-7.09383335012
A Perfect Circle,-15.9064462812,-0.993476971157
A Tribe Called Quest,-1.99129351423,4.329633916
A*Teens,-1.47440796206,16.8273695045
A7ie,3.64788988433,-12.8704891937
ABBA,-3.78903261887,20.2926582886
AC/DC,-3.40673253193,-12.611376976
ADULT.,-4.62743893106,-15.2035803203
AFX,-1.48530826292,-2.72772747498
ASIAN KUNG-FU GENERATION,-12.2925805951,-20.0839643032
ASP,-5.13242198914,19.3577934018
ATB,10.3011144448,13.2559659996
Above & Beyond,10.5512703355,14.0430222792
Absurd Minds,6.79667893737,-16.2861070693
Accessory,4.86971145592,-8.92207006517
Acid House Kings,-12.6696983969,-18.1744851071
Acylum,2.09809915263,-15.3185436589
Adam Lambert,0.818391615939,13.1058977575
Adam and the Ants,12.3950689362,-8.24335951125
Adema,-21.7064739217,-13.1847259742
Adymus,-10.5483810749,-18.6686027827
Aeon Spoke,-23.7404847449,-16.178831465
Aerosmith,-19.3044431026,12.336945558
Aesthetic Perfection,7.59616120685,-14.3240966062
Agent Steel,-10.4480166932,-18.5493930245
Agonoize,6.7595426176,-13.7743798219
Agressiva 69,-10.9563799422,-18.5983850945
Ahmet Kaya,-11.9859497798,-16.0264870482
Aina Sandoval,-10.1244243203,-16.7719902246
Air,1.81086006026,3.46062040946
Akira Yamaoka,15.8531620649,0.241073870725
Akon,-3.03408591371,11.0500278641
Akurat,10.8363179563,-10.0592655342
Alan Silvestri,17.4730088512,0.322148495168
Alan Wilder,4.73084715598,-1.93607174506
Alanis Morissette,-4.61057862737,16.2568488028
Alcazar,0.782151340519,-0.838667351736
Alesana,-16.6981832067,-8.19418389718
Alesha Dixon,-5.20550002562,16.9483536763
Alessandra Maestrini,-3.88797702856,19.4724023688
Alex Turner,-18.4476908394,6.43007445281
Alexander Rybak,-5.53719463438,14.1544752157
Alexandre Desplat,17.4737611621,0.322191271702
Alexi Murdoch,-11.2725928203,-10.9275638561
Alice in Chains,-23.4423655239,-15.8663430521
Alice in Videoland,-3.03169658037,-1.14707177196
Alien Sex Fiend,-7.42109347555,-18.6745344055
Alien Vampires,4.55173546299,-10.5759452684
All Time Low,-10.9071990503,-16.9728155349
Allison Iraheta,-5.36371232075,14.2962272279
Alpha Quadrant,-7.56732400869,-9.64808652182
Alphabeat,-3.99627855029,20.9769208678
Alphaville,11.7075239769,-11.5062192505
Aly & Fila,10.1786938693,13.8245481037
Amaral,-8.34906328292,-15.4489493311
Amaury Vassili,-8.40442433249,-11.5216049269
Amduscia,3.36537453343,-13.2797864604
Amon Amarth,-11.0561401932,-18.0672929422
Amon Tobin,-7.75086580151,0.831936166269
Amorphis,-1.38327564707,-14.8848674073
Amy Lee,-21.831723931,-16.4168043245
Amy Winehouse,-11.1685913818,-0.683720258784
Anathema,-9.56162137111,-19.964956878
And One,-5.3222034061,-2.98190602844
Andre Matos,-13.5485047515,-16.2292719749
Andrés Calamaro,0.766311286815,13.1187808934
Andy Fletcher,2.08720985325,-2.0278072727
Angel Dust,-20.1925573029,-9.45902334953
Angels & Agony,7.04616758624,-16.691730475
Angels & Airwaves,11.1539875496,4.41573177624
Angerfist,-10.7360072127,-15.5230945207
Angry Samoans,8.64080511647,-9.9782738153
Animal Collective,-8.38252531703,3.17068186281
Animals as Leaders,-10.6973129779,-17.9098836523
Anna Carina,-3.3579859616,17.1409027522
Anne Clark,11.5300004338,-9.82840202668
Annie,-1.25854965328,16.6610500411
Anorexia Nervosa,-8.39833094631,-11.5263781256
Antonio Vivaldi,18.4054905578,0.452941750367
Antonis Remos,-11.8746281427,-16.3305281388
Anya Marina,-10.8706756816,12.8836359328
Anything Box,5.60643362931,-2.58013983975
Apocalyptica,0.484162713729,-17.6033819328
Apoptygma Berzerk,-13.0220455813,-19.8383229871
Apparat,1.56913836638,4.2711493475
Arcade Fire,-10.6223017453,11.8017303603
Arctic Monkeys,-4.91569831224,-18.2446948182
Arcturus,-1.61510135972,-14.8767888924
Armand van Helden,0.11123466037,-6.74023799148
Armin van Buuren,9.78425158056,14.0419307528
